Epochs,Train 1pit_multi_loss,Train 1L2_reg,Train Total Loss,Val 1pit_multi_loss,Val 1L2_reg,Val Total Loss,Train si_sdr,Train accuracy_metric,Train probnorm_acc_metric,Val si_sdr,Val accuracy_metric,Val probnorm_acc_metric
1,0.02797085336347421,0.0019245624197646975,0.029895415768027307,0.01919270514887064,0.001923933275975287,0.02111663877409189,-8.094732218424479,38.1375,0.4866426638364792,-8.331805974879163,43.54499113475177,0.5509395340972758
2,0.01760285104562839,0.0019230701193834344,0.01952592114607493,0.017872822470963,0.0019221173133701086,0.019794939977533007,-7.688378439585368,45.21666666666667,0.5726392076015473,-7.610525354425958,46.51484929078014,0.5881053503629163
3,0.017016321447988352,0.0019210144951939583,0.01893733592828115,0.017340672043885324,0.0019198358058929443,0.019260507829962893,-6.892196358998617,47.02916666666667,0.5934633784691493,-6.760554318732404,48.736702127659576,0.60983688516397
4,0.015928396771351497,0.0019018064057454466,0.01783020320534706,0.014852378656096916,0.0018842578865587711,0.016736636453486504,-2.7090205416083335,49.15833333333333,0.6173728339672089,-0.06599052614988164,49.18550531914894,0.6191407423598547
5,0.014313780364890893,0.0018648166507482529,0.01617859697341919,0.014464204110442958,0.0018445237074047327,0.016308727713816976,0.2496243405242761,50.083333333333336,0.6284946208000183,0.14948248538248082,50.79233156028369,0.634848268795098
6,0.014039818664391836,0.0018239038912579418,0.01586372255285581,0.014225915252686815,0.001803338760510087,0.016029254018150745,0.47060496975978217,50.6,0.6334171413580577,0.3417691656566681,50.50975177304965,0.6321848021120045
7,0.013880701559285323,0.0017833844932417075,0.015664086021482945,0.014177925686569923,0.001763907028362155,0.015941832591085992,0.5862034716854493,50.87916666666667,0.6350287684996923,0.302668625687031,51.41843971631205,0.6399369584330431
8,0.013779935965935389,0.001745860667899251,0.01552579664438963,0.01405374804868343,0.0017279722960665822,0.015781720416580745,0.6432444458454847,51.3625,0.6392924275795618,0.46940700361069215,50.75354609929078,0.6349113341552992
9,0.013680861567457517,0.001711248433838288,0.01539210999260346,0.01399609135424203,0.0016950382851064205,0.01569112966907151,0.7147413956622283,51.42916666666667,0.6399319669008255,0.5711582448888333,50.930851063829785,0.6352414398962725
10,0.013553011054793994,0.0016809563102821508,0.015233967358867328,0.013787331723390108,0.0016673217760398984,0.015454653640614545,0.9073560428073009,51.67916666666667,0.6417266559203466,0.8599194544268415,51.14140070921986,0.6378880403143294
11,0.013447357865671316,0.0016547838322197397,0.01510214172055324,0.013734346334921552,0.001643215655349195,0.015377561888716956,1.1358299023459355,51.979166666666664,0.6439670902490616,1.3047223102618406,51.545877659574465,0.6404718291146536
12,0.013235698871314526,0.0016323755870883663,0.014868074484169483,0.013528100373421578,0.0016219038516283035,0.01515000416560376,1.5092494978904725,52.07083333333333,0.6450465209881464,1.6540003777184384,52.17198581560284,0.646029475521534
13,0.013093160517513752,0.001612711531110108,0.014705872029066086,0.01341952393425906,0.0016036548186093569,0.015023178638930016,1.6590014628569285,52.25,0.6467703692913055,1.6127418264588143,52.3936170212766,0.646983211661907
14,0.012980429751177629,0.001595241950514416,0.014575671712557475,0.013515523050297448,0.001586908707395196,0.015102431633846556,1.7502114856342474,52.670833333333334,0.6503954646984736,1.5614290085244686,52.35483156028369,0.6478038225719269
15,0.012937493465840817,0.0015798099348321556,0.014517303389807543,0.013385068932350011,0.0015726557467132807,0.014957724525494145,1.7802989145914714,52.62916666666667,0.6494905058145523,1.775571904283889,52.32158687943263,0.6468941982016496
