Epochs,Train 1nll_loss,Val 1nll_loss,Train accuracy,Val accuracy
1,0.04616277037548278,0.002203999545598493,98.11938454627133,99.95510057471265
2,0.004579240007878841,0.0008864804157162441,99.9320530098832,99.98428520114942
3,0.0010982952201907025,0.0007360908689396386,99.98596136567835,99.98877514367815
4,0.002000186437812483,0.0029699775695213393,99.98090745732256,99.98428520114942
5,2.4358319994028884e-06,0.0036617298028818637,100.0,99.99102011494253
6,0.0041735821582021436,0.0062219459358607175,99.98427672955975,99.99102011494253
7,0.0018171916756260747,0.010054621406431534,99.9898921832884,99.9865301724138
8,0.004052556292466048,7.508127910416984e-05,99.98090745732256,100.0
9,0.0011296097949132847,0.01056173369374253,99.99326145552561,99.98877514367815
10,0.0028607687636984075,0.0007020216183795338,99.98652291105121,99.98428520114942
11,0.0032884229483209687,0.0006998332555147312,99.98764600179695,99.98204022988506
12,7.706249916698544e-06,6.921643446676618e-06,99.99943845462714,100.0
13,0.01787429033902345,0.010197648180336137,99.98652291105121,99.98428520114942
14,0.0003875385292060542,0.0025638788219443888,99.9966307277628,99.98877514367815
15,8.961847017308186e-06,0.005950276357013428,99.99943845462714,99.99326508620689
16,0.011673005748689357,2.6013254449614332e-11,99.98933063791554,100.0
17,0.0021763096441758654,0.02195113636365812,99.99382300089847,99.9865301724138
18,0.004622322633731721,0.002122611642374227,99.99213836477988,99.98428520114942
19,0.0016124914779074011,0.07656221552056143,99.99494609164421,99.98204022988506
20,0.019925505197977384,0.013588745318267537,99.98539982030547,99.98877514367815
21,0.0010121391169071437,0.017881204751362494,99.99719227313567,99.99102011494253
22,9.265182010288832e-09,0.01862867504823823,100.0,99.99102011494253
23,0.00231558785222736,3.165106585813986e-07,99.9966307277628,100.0
24,0.006316904791989681,0.007283524441500676,99.99213836477988,99.99326508620689
25,0.019788268184599243,0.003128618682594381,99.99045372866128,99.99326508620689
26,0.0,0.003128618682594381,100.0,99.99326508620689
27,0.0,0.003128618575545809,100.0,99.99326508620689
28,2.2984679827783743e-09,0.002226638133679862,100.0,99.99551005747126
29,0.006541628680458081,0.10127379278221232,99.99606918238993,99.98428520114942
30,0.016051106312980123,0.0,99.99438454627133,100.0
31,0.011603977847170035,0.010888054387915035,99.9966307277628,99.96183548850574
32,0.00012936337200446503,0.0009779118365224426,99.9983153638814,99.99775502873563
33,0.0,0.0009779118365224426,100.0,99.99775502873563
34,0.0,0.0009779118365224426,100.0,99.99775502873563
35,0.0,0.0009779118365224426,100.0,99.99775502873563
