Epochs,Train 1pit_multi_loss,Train 1L2_reg,Train Total Loss,Val 1pit_multi_loss,Val 1L2_reg,Val Total Loss,Train si_sdr,Train accuracy_metric,Train probnorm_acc_metric,Val si_sdr,Val accuracy_metric,Val probnorm_acc_metric
1,0.038076962848504384,0.003982346363986532,0.04205930924912294,0.0331024382104899,0.003982312511652708,0.03708475091038866,-10.357881420135499,32.454166666666666,0.4289721619685491,-10.977729868381582,32.421875,0.42793300090000985
2,0.029095633203784624,0.003982286511609951,0.03307791968435049,0.03035708668423777,0.003982258960604668,0.03433934552595019,-9.898024977366129,34.65208333333333,0.4556656009554863,-9.839987070002454,34.20877659574468,0.4493425283977326
3,0.02736768845717112,0.003982232142239809,0.03134992062548796,0.02868039742548098,0.003982205409556627,0.03266260306291441,-8.994619276046754,36.11666666666667,0.4742114972273509,-9.18759115452462,35.505319148936174,0.46549116614017083
4,0.01635217123106122,0.0038922712048515677,0.020244442450503507,0.015030297346690551,0.0037827156484127045,0.01881301297033404,0.1471287059734265,39.85208333333333,0.5286722030043602,1.6729066340609433,38.123337765957444,0.5067753694317443
5,0.013992601084212462,0.0036899554850533603,0.01768255654722452,0.014334690316203744,0.0036073189694434404,0.01794200959278548,2.0286692384282747,41.2125,0.5429684476455052,2.0266917255568377,39.660904255319146,0.5208192822781015
6,0.013374085839837789,0.0035408847955986857,0.01691497063388427,0.013712260431233556,0.003478893544524908,0.017191154059973804,2.4301540975272657,42.170833333333334,0.5507930887142817,2.4009098182333277,38.48071808510638,0.5095371286919776
7,0.013038924131542444,0.0034281670479103924,0.016467091172933577,0.013839831501443653,0.0033811726607382298,0.017221004068058855,2.6502684849103293,42.71458333333333,0.5563690043091774,2.294463615151162,39.61934840425532,0.5222551839307268
8,0.012707867345462243,0.0033396176354338726,0.016047485005110503,0.01377376011929455,0.003301016055047512,0.017074776154526686,2.851429358800252,43.05833333333333,0.5587887425820033,2.402509408111268,40.134640957446805,0.526628547288636
9,0.012465618034203848,0.0032675380787501734,0.01573315612971783,0.013212226762218362,0.003233407624065876,0.016445634346653488,2.9956226948897045,43.547916666666666,0.5633670342564583,2.7612369419570935,39.71077127659574,0.5209931349183651
10,0.012252247147262096,0.0032019162581612666,0.015454163370033105,0.01299585600660995,0.003172553377225995,0.016168409398697476,3.1118924953937532,44.09166666666667,0.568633550286293,2.797389882200576,40.192819148936174,0.5260085041852708
11,0.01219682622452577,0.0031507698862502974,0.015347596120089292,0.013016691718726082,0.003129912307485938,0.016146604021258178,3.16498770403862,44.18125,0.5689838633338611,2.857011594512361,41.023936170212764,0.5343846379125372
12,0.012084185641258955,0.003109778198413551,0.015193963854263226,0.012946281775316976,0.003087299410253763,0.016033581150893834,3.2186064795653024,44.51875,0.5720657479564348,2.8874597409938243,40.79122340425532,0.5308881669919542
